feature,pfi_mean,mdi_mean,shap_magnitude
f6_macd_hist_12_26_9,-0.00032412164362424225,0.006208432220172241,0.0
f6_adx_14,-0.0021055398390889433,0.008485267590996092,0.0
f6_donchian_pos_20,0.0007107110657345594,0.005659846437154944,0.0
f7_volume_z_20,-0.0006175382951379427,0.0020665269398314296,0.0
f7_oi_level,0.001143048493808463,0.006630887576315831,0.0
f7_oi_change,-0.0008015531574429025,0.001406360209051124,0.0
f7_oi_z_20,0.0002799699599087546,0.003733517454648561,0.0
f7_oi_price_div_20,0.0007905507345607872,0.004344043691387603,0.0
f10_hl_range,-0.00010963706657608115,0.0027492455327199714,0.0
f10_oto_ret,0.00023889464185284927,0.0040366778933430296,0.0
f10_oto_ret_mean_20,-0.0004438640534611441,0.007590622969766058,0.0
f4_pc1,0.0017989572762842705,0.014796100197946856,0.0
f4_pc2,-0.0004993207576016252,0.0039017703836480245,0.0
f4_pc3,-0.0009097381106776455,0.010298818464448497,0.0
f4_pc4,-0.0005995847527734743,0.0040359267857428,0.0
f5_signal,0.05231016916959383,0.046500792757263786,0.0
f5_trailing_run_length,-0.0011384622797780705,0.006184651555416575,0.0
f5_participation_20,-0.001505563265229226,0.003085154271458462,0.0
f5_participation_60,-0.0014478691929338187,0.00157430997766513,0.0
f5_long_bias_20,0.00848036751490449,0.029783816725932975,0.0
f5_sign_agree_mr,-0.0004486510325062495,0.0007250763264300043,0.0
f8_dow_sin,2.6259501244892588e-05,0.0002163940813236756,0.0
f8_dow_cos,1.0057184443116688e-05,0.00042399598985096387,0.0
f8_month_sin,-0.00040971561284164717,0.005472011458555081,0.0
f8_month_cos,0.0003847917300529802,0.013515636955356106,0.0
f11_vix_level_z,-0.007264782912790298,0.014352052016765343,0.0
f11_vix_5d_change,-0.0015131862968687404,0.0026949073179337647,0.0
f11_vix_term_slope,0.0008399699780791655,0.007112603509772915,0.0
f11_move_z,0.0007909549381012071,0.009898334389818268,0.0
f11_move_vix_ratio,-0.00022458849966021285,0.009432323091711686,0.0
f11_skew_z,-0.0014402294014733807,0.006098510492447115,0.0
f11_us_2s10s_slope,0.002311131635703963,0.011901624149494883,0.0
f11_ust_10y_5d_change,-4.035718324593522e-05,0.002606851761217131,0.0
f11_bund_10y_5d_change,-0.0007096948115791646,0.004261077121841079,0.0
f11_ust_bund_spread,-0.0015545390412015378,0.008412785658817385,0.0
f11_real_yield_10y,5.700632874092356e-05,0.012726768292112873,0.0
f11_breakeven_10y,-0.0018622977926537221,0.014021071944039393,0.0
f11_be_5d_change,-0.0004922421911149962,0.006316974879331389,0.0
f11_hy_oas_z,-0.0044525324949206135,0.016152489119588196,0.0
