date,instrument,side,t1,ret,bin,trgt,h,pt_mult,sl_mult,sigma_method,avg_uniqueness
2021-11-22,rb1s,1,2021-11-26,-0.10084872669178435,0,0.06969099532125794,10,1.5,1.0,garch,0.1
2021-11-23,rb1s,1,2021-11-26,-0.1304481418269705,0,0.06969099532125794,10,1.5,1.0,garch,0.10000000000000002
2021-11-24,rb1s,1,2021-11-26,-0.12568957165430716,0,0.06969099532125794,10,1.5,1.0,garch,0.1
2021-11-26,rb1s,1,2021-12-10,0.07879460978993214,1,0.06969099532125794,10,1.5,1.0,garch,0.19455266955266956
2021-11-29,rb1s,1,2021-12-13,0.0410723079451174,1,0.06969099532125794,10,1.5,1.0,garch,0.19455266955266956
2021-11-30,rb1s,1,2021-12-08,0.10741714420274184,1,0.06969099532125794,10,1.5,1.0,garch,0.18985260770975057
2021-12-01,rb1s,1,2021-12-15,0.09041053624765483,1,0.06969099532125794,10,1.5,1.0,garch,0.13615046569592024
2021-12-02,rb1s,1,2021-12-16,0.10677440705884145,1,0.06969099532125794,10,1.5,1.0,garch,0.12168765577856487
2021-12-03,rb1s,1,2021-12-16,0.11516206742488189,1,0.06969099532125794,10,1.5,1.0,garch,0.11385642135642135
2021-12-06,rb1s,1,2021-12-20,0.022855184857973665,1,0.06969099532125794,10,1.5,1.0,garch,0.10570969434605798
2021-12-07,rb1s,1,2021-12-21,0.0248571418972654,1,0.06969099532125794,10,1.5,1.0,garch,0.10098714416896235
2021-12-08,rb1s,1,2021-12-22,0.011156477949544774,1,0.06969099532125794,10,1.5,1.0,garch,0.09788797061524335
2021-12-09,rb1s,1,2021-12-23,0.038762374713919856,1,0.06969099532125794,10,1.5,1.0,garch,0.09605142332415059
2021-12-10,rb1s,1,2021-12-27,0.04720912182790582,1,0.06969099532125794,10,1.5,1.0,garch,0.09421487603305785
2021-12-13,rb1s,1,2021-12-28,0.06484722920918418,1,0.06969099532125794,10,1.5,1.0,garch,0.09338842975206613
2021-12-14,rb1s,1,2021-12-29,0.07751574462192412,1,0.06969099532125794,10,1.5,1.0,garch,0.09256198347107439
2021-12-15,rb1s,1,2021-12-30,0.08075478394026936,1,0.06969099532125794,10,1.5,1.0,garch,0.09173553719008264
2021-12-16,rb1s,1,2021-12-31,0.025013925504252077,1,0.06969099532125794,10,1.5,1.0,garch,0.09173553719008264
2021-12-17,rb1s,1,2022-01-03,0.06720336938678373,1,0.06969099532125794,10,1.5,1.0,garch,0.09173553719008264
2021-12-20,rb1s,1,2022-01-04,0.09289650902391111,1,0.06969099532125794,10,1.5,1.0,garch,0.09090909090909091
2021-12-21,rb1s,1,2022-01-05,0.06867773353784123,1,0.06969099532125794,10,1.5,1.0,garch,0.09090909090909091
2021-12-22,rb1s,1,2022-01-06,0.06434180102859499,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-23,rb1s,1,2022-01-07,0.04338946092210594,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-27,rb1s,1,2022-01-10,0.020175754072333074,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-28,rb1s,1,2022-01-11,0.049599287714574336,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-29,rb1s,1,2022-01-12,0.054795728839243774,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-30,rb1s,-1,2022-01-13,-0.04045561669776765,0,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2021-12-31,rb1s,1,2022-01-14,0.08738649640289808,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-03,rb1s,1,2022-01-18,0.07768668195102113,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-04,rb1s,1,2022-01-19,0.07938320857616898,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-05,rb1s,1,2022-01-20,0.0742114206279092,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-06,rb1s,1,2022-01-21,0.059931432746577196,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-07,rb1s,1,2022-01-24,0.043139940276026634,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-10,rb1s,1,2022-01-25,0.08045750995892043,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-11,rb1s,1,2022-01-26,0.06853799150414508,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-12,rb1s,1,2022-01-27,0.05269163067998406,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-13,rb1s,1,2022-01-28,0.0627267411003023,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-14,rb1s,-1,2022-01-31,-0.054203874612618774,0,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-18,rb1s,-1,2022-02-01,-0.057193979059765754,0,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-19,rb1s,1,2022-02-02,0.05927188631990732,1,0.08767294979279906,10,1.5,1.0,garch,0.09090909090909091
2022-01-20,rb1s,1,2022-02-03,0.07150970498012521,1,0.08767294979279906,10,1.5,1.0,garch,0.09173553719008266
2022-01-21,rb1s,-1,2022-02-04,-0.09482934766631823,0,0.08767294979279906,10,1.5,1.0,garch,0.09256198347107439
2022-01-24,rb1s,1,2022-02-02,0.0853003618900503,1,0.05404321788901003,10,1.5,1.0,garch,0.09090909090909091
2022-01-25,rb1s,1,2022-02-04,0.08767156598447112,1,0.05404321788901003,10,1.5,1.0,garch,0.09292929292929292
2022-01-26,rb1s,1,2022-02-09,0.05160114174255526,1,0.05404321788901003,10,1.5,1.0,garch,0.09522497704315885
