instrument,variant,pool,n_pool_members,model,n_modelling,n_oos_for_instrument,mean_auc,std_auc,sem,is_champion
pl1s,with_bbg,precious,3,lightgbm,797,1572,0.522562,0.055673,0.014879,False
pl1s,with_bbg,precious,3,xgboost,797,1572,0.534674,0.052800,0.014111,False
pl1s,with_bbg,precious,3,multitask_nn,797,1572,0.525620,0.056517,0.015105,False
pl1s,with_bbg,metals_all,4,elasticnet_logistic,1174,1576,0.527713,0.049256,0.013164,False
pl1s,with_bbg,metals_all,4,random_forest,1174,1576,0.514891,0.046506,0.012429,False
pl1s,with_bbg,metals_all,4,lightgbm,1174,1576,0.541411,0.050700,0.013550,False
pl1s,with_bbg,metals_all,4,xgboost,1174,1576,0.547267,0.054576,0.014586,False
pl1s,with_bbg,metals_all,4,multitask_nn,1174,1576,0.539370,0.039937,0.010673,False
hg1s,with_bbg,hg1s,1,elasticnet_logistic,377,1756,0.488034,0.081911,0.021892,False
hg1s,with_bbg,hg1s,1,random_forest,377,1756,0.502720,0.058287,0.015578,False
hg1s,with_bbg,hg1s,1,lightgbm,377,1756,0.513605,0.045136,0.012063,False
hg1s,with_bbg,hg1s,1,xgboost,377,1756,0.493421,0.052801,0.014112,False
hg1s,with_bbg,metals_all,4,elasticnet_logistic,1174,1753,0.538893,0.063995,0.017103,True
hg1s,with_bbg,metals_all,4,random_forest,1174,1753,0.495365,0.067962,0.018164,False
hg1s,with_bbg,metals_all,4,lightgbm,1174,1753,0.521770,0.049049,0.013109,False
hg1s,with_bbg,metals_all,4,xgboost,1174,1753,0.508101,0.054954,0.014687,False
hg1s,with_bbg,metals_all,4,multitask_nn,1174,1753,0.517126,0.050937,0.013614,False
es1s,without_bbg,es1s,1,elasticnet_logistic,345,1608,0.545302,0.056512,0.015103,True
es1s,without_bbg,es1s,1,random_forest,345,1608,0.525898,0.043131,0.011527,False
es1s,without_bbg,es1s,1,lightgbm,345,1608,0.510844,0.046454,0.012415,False
es1s,without_bbg,es1s,1,xgboost,345,1608,0.513843,0.046900,0.012535,False
es1s,without_bbg,equity_all,3,elasticnet_logistic,1083,1612,0.536114,0.050346,0.013456,False
es1s,without_bbg,equity_all,3,random_forest,1083,1612,0.558556,0.054532,0.014574,False
es1s,without_bbg,equity_all,3,lightgbm,1083,1612,0.528658,0.073240,0.019574,False
es1s,without_bbg,equity_all,3,xgboost,1083,1612,0.528507,0.071489,0.019106,False
es1s,without_bbg,equity_all,3,multitask_nn,1083,1612,0.479574,0.051822,0.013850,False
nq1s,without_bbg,nq1s,1,elasticnet_logistic,357,1664,0.514907,0.044881,0.011995,False
nq1s,without_bbg,nq1s,1,random_forest,357,1664,0.548509,0.041820,0.011177,False
nq1s,without_bbg,nq1s,1,lightgbm,357,1664,0.545649,0.037273,0.009962,False
nq1s,without_bbg,nq1s,1,xgboost,357,1664,0.556720,0.046013,0.012298,False
nq1s,without_bbg,equity_all,3,elasticnet_logistic,1083,1661,0.510062,0.046743,0.012493,False
nq1s,without_bbg,equity_all,3,random_forest,1083,1661,0.568158,0.036720,0.009814,True
nq1s,without_bbg,equity_all,3,lightgbm,1083,1661,0.557041,0.039359,0.010519,False
nq1s,without_bbg,equity_all,3,xgboost,1083,1661,0.556455,0.039674,0.010603,False
nq1s,without_bbg,equity_all,3,multitask_nn,1083,1661,0.542457,0.041822,0.011177,False
fesx1s,without_bbg,fesx1s,1,elasticnet_logistic,381,1776,0.493021,0.032361,0.008649,False
fesx1s,without_bbg,fesx1s,1,random_forest,381,1776,0.501965,0.051293,0.013709,False
fesx1s,without_bbg,fesx1s,1,lightgbm,381,1776,0.472992,0.061904,0.016545,False
fesx1s,without_bbg,fesx1s,1,xgboost,381,1776,0.478814,0.061452,0.016424,False
fesx1s,without_bbg,equity_all,3,elasticnet_logistic,1083,1779,0.507245,0.037686,0.010072,False
fesx1s,without_bbg,equity_all,3,random_forest,1083,1779,0.526299,0.046817,0.012512,True
fesx1s,without_bbg,equity_all,3,lightgbm,1083,1779,0.502963,0.043103,0.011520,False
fesx1s,without_bbg,equity_all,3,xgboost,1083,1779,0.514204,0.051623,0.013797,False
fesx1s,without_bbg,equity_all,3,multitask_nn,1083,1779,0.487453,0.060171,0.016081,False
