date,year,holiday_name,holiday_type,venue_scope,venues_closed,observed_scope,n_missing,n_active,affected_instruments
2009-12-25,2009,Christmas Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2010-01-01,2010,New Year's Day,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,global,11,11,"cl1s,es1s,fesx1s,gc1s,hg1s,ho1s,ng1s,nq1s,pl1s,rb1s,si1s"
2010-01-18,2010,Martin Luther King Jr. Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-02-15,2010,Presidents' Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-04-02,2010,Good Friday,recurring,global,NYMEX/COMEX+CME_EQ+EUREX,mixed,9,11,"cl1s,fesx1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-04-05,2010,Easter Monday (Eurex),recurring,eurex,EUREX,exchange_specific,1,11,fesx1s
2010-05-31,2010,Memorial Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-07-05,2010,Independence Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,7,11,"gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-09-06,2010,Labor Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,8,11,"cl1s,gc1s,hg1s,ho1s,ng1s,pl1s,rb1s,si1s"
2010-11-25,2010,Thanksgiving Day,recurring,us_futures,NYMEX/COMEX+CME_EQ,exchange_specific,7,11,"cl1s,gc1s,ho1s,ng1s,pl1s,rb1s,si1s"
