instrument,metric,full_window,first_half,second_half,sign_flip_flag
ng1s,hit_rate_h,0.6,0.6785714285714286,0.5760869565217391,False
gc1s,corr_trail_1,-0.08699592374987225,-0.1004621745127976,-0.05994683599960962,False
gc1s,corr_trail_5,-0.08902458698641942,-0.1410237275326196,-0.008295336399725902,False
gc1s,corr_trail_10,0.07892052048047882,0.07018074065962615,0.08773606126775826,False
gc1s,corr_trail_20,-0.04986795076380607,-0.05484566002703307,-0.03232985046708738,False
gc1s,corr_fwd_1,0.12914088761656561,0.14419129817238016,0.09980155499212441,False
gc1s,mean_pnl_next_day,0.0007440505851033703,0.0010991288183459832,0.000391349510279618,False
gc1s,mean_pnl_h,0.0016899878127115625,0.0022662635305580763,0.00119795050132374,False
gc1s,hit_rate_h,0.6049382716049383,0.6,0.625,False
si1s,corr_trail_1,-0.14343678786273015,-0.12190558419260908,-0.19419133121655616,False
si1s,corr_trail_5,-0.12393630586073916,-0.06748133909357762,-0.24639784232179565,False
si1s,corr_trail_10,-0.12123265314190464,-0.09898655131241792,-0.16658924184427806,False
si1s,corr_trail_20,0.01735389393658635,0.02384334145043638,0.01599720593577304,False
si1s,corr_fwd_1,0.056683809203425965,0.04591858693578285,0.08884063766469626,False
si1s,mean_pnl_next_day,0.0012893553561377016,0.0012623342702614243,0.0013420829533045504,False
si1s,mean_pnl_h,-0.0010173961882905267,-0.0065695233930116274,0.0037151126116249655,False
si1s,hit_rate_h,0.5616197183098591,0.5289855072463768,0.5851063829787234,False
hg1s,corr_trail_1,-0.10921290754171374,-0.07230398547168222,-0.13201988068377213,False
hg1s,corr_trail_5,-0.0871246958119165,-0.01467636283655578,-0.1354631734084307,False
hg1s,corr_trail_10,-0.04478940347237068,-0.0489088208173094,-0.019772459389167916,False
hg1s,corr_trail_20,0.027333557825170312,0.008842493425567997,0.05626475926189632,False
hg1s,corr_fwd_1,0.12183734235864797,0.1644303854988791,0.10081570014962404,False
hg1s,mean_pnl_next_day,0.001881784537868559,0.0021289634880228537,0.001525041947103972,False
hg1s,mean_pnl_h,0.0029763702780261575,0.0019205090107877552,0.0036034700652925584,False
hg1s,hit_rate_h,0.540453074433657,0.5230263157894737,0.5526315789473685,False
pl1s,corr_trail_1,-0.1475227482701545,-0.12719547594387806,-0.18435380134357976,False
pl1s,corr_trail_5,-0.05024610609041837,-0.12469436409234191,0.11810997303074576,False
pl1s,corr_trail_10,-0.07876293383949358,-0.05731178912131721,-0.10721749304397493,False
pl1s,corr_trail_20,-0.051761772944651833,-0.09359018713203014,0.039589541098595735,False
pl1s,corr_fwd_1,0.07092422928031189,0.08440780113300721,0.0884879616699808,False
pl1s,mean_pnl_next_day,0.0012554151404571866,0.002160144589252332,0.00035152602200651885,False
pl1s,mean_pnl_h,0.0013830669583997802,0.005561819384543237,-0.0033077099157448812,False
pl1s,hit_rate_h,0.5237226277372263,0.5661764705882353,0.4699248120300752,False
