date,instrument,weight
2022-03-25,gc1s,0.0000000000
2022-03-25,hg1s,0.0000000000
2022-03-25,ho1s,0.0000000000
2022-03-25,ng1s,0.0000000000
2022-03-25,nq1s,-0.3285561670
2022-03-25,pl1s,0.3138547326
2022-03-25,rb1s,0.0000000000
2022-03-25,si1s,0.0000000000
2022-03-28,cl1s,-0.0722434196
2022-03-28,es1s,0.0000000000
2022-03-28,fesx1s,0.3359663928
2022-03-28,gc1s,0.0000000000
2022-03-28,hg1s,0.0000000000
2022-03-28,ho1s,0.0000000000
2022-03-28,ng1s,0.0000000000
2022-03-28,nq1s,-0.3309507050
2022-03-28,pl1s,0.3159376999
2022-03-28,rb1s,0.0000000000
2022-03-28,si1s,0.0000000000
2022-03-29,cl1s,0.0000000000
2022-03-29,es1s,0.0000000000
2022-03-29,fesx1s,-0.3321250808
2022-03-29,gc1s,0.0000000000
2022-03-29,hg1s,0.0000000000
2022-03-29,ho1s,0.0000000000
2022-03-29,ng1s,0.0000000000
2022-03-29,nq1s,0.3329735750
2022-03-29,pl1s,0.3188068651
2022-03-29,rb1s,0.0000000000
2022-03-29,si1s,0.0000000000
2022-03-30,cl1s,0.0000000000
2022-03-30,es1s,0.0000000000
2022-03-30,fesx1s,-0.3352443673
2022-03-30,gc1s,0.0000000000
2022-03-30,hg1s,0.0000000000
2022-03-30,ho1s,0.0000000000
2022-03-30,ng1s,0.0000000000
2022-03-30,nq1s,0.3362265451
2022-03-30,pl1s,0.0000000000
2022-03-30,rb1s,0.0000000000
2022-03-30,si1s,0.0000000000
2022-03-31,cl1s,0.0000000000
2022-03-31,es1s,0.0000000000
2022-03-31,fesx1s,0.3392621148
2022-03-31,gc1s,0.0000000000
2022-03-31,hg1s,0.0000000000
2022-03-31,ho1s,0.0000000000
2022-03-31,ng1s,0.0000000000
2022-03-31,nq1s,0.3385769556
2022-03-31,pl1s,0.0000000000
2022-03-31,rb1s,0.0000000000
2022-03-31,si1s,0.0000000000
2022-04-01,cl1s,0.0000000000
2022-04-01,es1s,0.0000000000
2022-04-01,fesx1s,0.3446996133
2022-04-01,gc1s,0.0000000000
2022-04-01,hg1s,0.0000000000
