date,y_true,p_hat_oof,instrument,ret,side
2020-09-23,1,0.6195873973822892,cl1s,0.0095166542976894,1.0
2020-09-24,0,0.6073724187298748,cl1s,-0.0014884639780549,1.0
2020-09-25,1,0.6305167602457865,cl1s,0.0086956521074166,1.0
2020-09-28,0,0.5948622573521144,cl1s,-0.0322660098001402,1.0
2020-09-29,1,0.58693428257767,cl1s,0.0236701448694918,1.0
2020-09-30,0,0.5645641422443151,cl1s,-0.0372948786216469,1.0
2020-10-01,0,0.5852027964849945,cl1s,-0.0431301652664449,1.0
2020-10-02,1,0.5637347979761522,cl1s,0.058569500819265,1.0
2020-10-05,1,0.5841904744894656,cl1s,0.0369709333076255,1.0
2020-10-07,1,0.6003974788441991,cl1s,0.0310387988122602,1.0
2020-10-08,0,0.5735983292274469,cl1s,-0.0143238649555096,1.0
2020-10-09,0,0.5854100166522624,cl1s,-0.0288177346380952,1.0
2020-10-12,1,0.5704627402867788,cl1s,0.0195282783463333,1.0
2020-10-13,1,0.6051978144986189,cl1s,0.0208955224058362,1.0
2020-10-14,0,0.5697466924034931,cl1s,-0.0024189647939832,1.0
2020-10-15,0,0.6085136126873321,cl1s,-0.0029097964479449,1.0
2020-10-16,0,0.5892006723243877,cl1s,-0.0014591440361059,1.0
2020-10-19,1,0.608321656770995,cl1s,0.0155869458130404,1.0
2020-10-20,0,0.5533875407443036,cl1s,-0.0400479610050575,1.0
2020-10-21,1,0.5813992426244046,cl1s,0.0152385709061564,1.0
2020-10-22,0,0.5532040184750858,cl1s,-0.0194389764200861,1.0
2020-10-23,0,0.581915106187864,cl1s,-0.0323713924769247,1.0
2020-10-26,1,0.5629515028420962,cl1s,0.0261929454647311,1.0
2020-10-27,0,0.6041538235297683,cl1s,-0.0550922415274249,1.0
2020-10-28,0,0.5998586248458346,cl1s,-0.0326290448596875,1.0
2020-10-29,0,0.6231603956967777,cl1s,-0.0105059446329106,1.0
2020-10-30,1,0.6062322400810765,cl1s,0.0284995812427137,1.0
2020-11-02,1,0.6244534141108596,cl1s,0.0230915513319649,1.0
2020-11-03,1,0.594011319595398,cl1s,0.0395645246747187,1.0
2020-11-04,0,0.6037401111291627,cl1s,-0.0091954027196015,1.0
2020-11-05,0,0.54766410835172,cl1s,-0.0425367355723306,1.0
2020-11-06,1,0.5583920805787728,cl1s,0.0848142156952358,1.0
