instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
cl1s,2020-10-22,2020-10-23,train,1.0,0.028022014372097406,0.25,0.25,1,-0.019438976420086185,0,sl
cl1s,2020-10-23,2020-10-26,train,1.0,0.028365740775899557,0.25,0.25,1,-0.032371392476924776,0,sl
cl1s,2020-10-26,2020-10-27,train,1.0,0.02914340669381432,0.25,0.25,1,0.026192945464731165,1,pt
cl1s,2020-10-27,2020-10-28,train,1.0,0.028931240962146575,0.25,0.25,1,-0.05509224152742498,0,sl
cl1s,2020-10-28,2020-10-29,train,1.0,0.03098838765214655,0.25,0.25,1,-0.03262904485968754,0,sl
cl1s,2020-10-29,2020-10-30,train,1.0,0.030726979658724115,0.25,0.25,1,-0.010505944632910658,0,sl
cl1s,2020-10-30,2020-11-02,train,1.0,0.029292733329935428,0.25,0.25,1,0.02849958124271379,1,pt
cl1s,2020-11-02,2020-11-03,train,1.0,0.02684355922177076,0.25,0.25,1,0.023091551331964943,1,pt
cl1s,2020-11-03,2020-11-04,train,1.0,0.02594508225810365,0.25,0.25,1,0.039564524674718715,1,pt
cl1s,2020-11-04,2020-11-05,train,1.0,0.027427190649100996,0.25,0.25,1,-0.009195402719601509,0,sl
cl1s,2020-11-05,2020-11-06,train,1.0,0.026412758753385283,0.25,0.25,1,-0.04253673557233062,0,sl
cl1s,2020-11-06,2020-11-09,train,1.0,0.027813944419902065,0.25,0.25,1,0.08481421569523584,1,pt
cl1s,2020-11-09,2020-11-10,train,1.0,0.033186120000890953,0.25,0.25,1,0.0265574587975832,1,pt
cl1s,2020-11-10,2020-11-11,train,1.0,0.03342379164555544,0.25,0.25,1,0.0021760155735721654,1,vert
cl1s,2020-11-11,2020-11-12,train,1.0,0.033106640617603995,0.25,0.25,1,-0.007961399640160183,0,vert
cl1s,2020-11-12,2020-11-13,train,1.0,0.03315267595536369,0.25,0.25,1,-0.024075874920187368,0,sl
cl1s,2020-11-13,2020-11-16,train,1.0,0.03359123770169317,0.25,0.25,1,0.030152005635515566,1,pt
cl1s,2020-11-16,2020-11-17,train,1.0,0.0342949869526854,0.25,0.25,1,0.0019244644910230146,1,vert
cl1s,2020-11-17,2020-11-18,train,1.0,0.03411380814200585,0.25,0.25,1,0.008643457432676582,1,pt
cl1s,2020-11-18,2020-11-19,train,1.0,0.0327878515269993,0.25,0.25,1,-0.002618424130935826,0,vert
cl1s,2020-11-19,2020-11-20,train,1.0,0.03265775704501943,0.25,0.25,1,0.012410501539016794,1,pt
cl1s,2020-11-20,2020-11-23,train,1.0,0.032362975545423035,0.25,0.25,1,0.01508722254368311,1,pt
cl1s,2020-11-23,2020-11-24,train,1.0,0.03133346822974377,0.25,0.25,1,0.04296330759637623,1,pt
cl1s,2020-11-24,2020-11-25,train,1.0,0.03209516544245604,0.25,0.25,1,0.0178134044225835,1,pt
