date,instrument,weight
2022-03-14,rb1s,0.0
2022-03-14,si1s,0.0
2022-03-15,cl1s,0.0
2022-03-15,es1s,0.0425869
2022-03-15,fesx1s,-0.0284778
2022-03-15,gc1s,0.0
2022-03-15,hg1s,0.06463189
2022-03-15,ho1s,0.0
2022-03-15,ng1s,-0.01178266
2022-03-15,nq1s,0.0298442
2022-03-15,pl1s,0.02657127
2022-03-15,rb1s,0.0
2022-03-15,si1s,0.0
2022-03-16,cl1s,0.0
2022-03-16,es1s,0.04132027
2022-03-16,fesx1s,-0.02698414
2022-03-16,gc1s,0.0
2022-03-16,hg1s,0.03205141
2022-03-16,ho1s,0.0
2022-03-16,ng1s,-0.01187576
2022-03-16,nq1s,0.02848482
2022-03-16,pl1s,0.02697923
2022-03-16,rb1s,0.0
2022-03-16,si1s,0.0
2022-03-17,cl1s,0.0
2022-03-17,es1s,0.04132027
2022-03-17,fesx1s,-0.02743633
2022-03-17,gc1s,0.0
2022-03-17,hg1s,0.0
2022-03-17,ho1s,0.0
2022-03-17,ng1s,-0.01189943
2022-03-17,nq1s,0.02879
2022-03-17,pl1s,0.02690618
2022-03-17,rb1s,0.0
2022-03-17,si1s,0.0
2022-03-18,cl1s,-0.01456355
2022-03-18,es1s,0.0
2022-03-18,fesx1s,-0.02789525
2022-03-18,gc1s,0.0
2022-03-18,hg1s,0.0
2022-03-18,ho1s,0.0
2022-03-18,ng1s,0.0
2022-03-18,nq1s,0.02870469
2022-03-18,pl1s,0.02734018
2022-03-18,rb1s,0.0
2022-03-18,si1s,0.0
2022-03-21,cl1s,-0.01427088
2022-03-21,es1s,0.0
2022-03-21,fesx1s,-0.02836403
2022-03-21,gc1s,0.0
2022-03-21,hg1s,0.0
2022-03-21,ho1s,0.0
2022-03-21,ng1s,0.0
2022-03-21,nq1s,0.02917646
2022-03-21,pl1s,0.0
2022-03-21,rb1s,0.0
2022-03-21,si1s,0.0
2022-03-22,cl1s,-0.01448306
2022-03-22,es1s,0.0
2022-03-22,fesx1s,-0.02877125
2022-03-22,gc1s,0.05143065
2022-03-22,hg1s,0.0
2022-03-22,ho1s,0.0
2022-03-22,ng1s,0.0
2022-03-22,nq1s,0.02920052
2022-03-22,pl1s,0.0
2022-03-22,rb1s,0.0
2022-03-22,si1s,0.0
2022-03-23,cl1s,-0.01443708
2022-03-23,es1s,0.0
2022-03-23,fesx1s,-0.02906527
2022-03-23,gc1s,0.05143065
2022-03-23,hg1s,0.0
2022-03-23,ho1s,0.0
2022-03-23,ng1s,0.0
2022-03-23,nq1s,0.0
2022-03-23,pl1s,0.0
2022-03-23,rb1s,0.0
2022-03-23,si1s,0.0
2022-03-24,cl1s,-0.01453857
2022-03-24,es1s,0.0
2022-03-24,fesx1s,-0.02954894
2022-03-24,gc1s,0.0
2022-03-24,hg1s,0.0
2022-03-24,ho1s,0.0
2022-03-24,ng1s,0.0
2022-03-24,nq1s,0.0
2022-03-24,pl1s,0.02866385
2022-03-24,rb1s,0.0
2022-03-24,si1s,0.0
2022-03-25,cl1s,-0.01477689
2022-03-25,es1s,0.0
2022-03-25,fesx1s,-0.03004511
2022-03-25,gc1s,0.0
2022-03-25,hg1s,0.0
2022-03-25,ho1s,0.0
2022-03-25,ng1s,0.0
2022-03-25,nq1s,0.0
2022-03-25,pl1s,0.02858187
2022-03-25,rb1s,0.0
2022-03-25,si1s,0.0
2022-03-28,cl1s,-0.01415496
2022-03-28,es1s,0.0
2022-03-28,fesx1s,0.03045372
2022-03-28,gc1s,0.0
2022-03-28,hg1s,0.0
2022-03-28,ho1s,0.0
2022-03-28,ng1s,0.0
2022-03-28,nq1s,0.0
2022-03-28,pl1s,0.02876817
2022-03-28,rb1s,0.0
2022-03-28,si1s,0.0
2022-03-29,cl1s,0.0
2022-03-29,es1s,0.0
2022-03-29,fesx1s,-0.03010194
2022-03-29,gc1s,0.0
2022-03-29,hg1s,0.0
2022-03-29,ho1s,0.0
2022-03-29,ng1s,0.0
2022-03-29,nq1s,0.03024321
2022-03-29,pl1s,0.02902581
2022-03-29,rb1s,0.0
2022-03-29,si1s,0.0
