feature,pfi_mean,mdi_mean,shap_magnitude
f11_ust_10y_5d_change,-0.00039547498209883497,0.0077190209891181815,0.0
f11_bund_10y_5d_change,-0.0008024507854040778,0.004684880441507232,0.0
f11_ust_bund_spread,-0.002277911458921885,0.013816015692088464,0.0
f11_real_yield_10y,-0.003091212509119723,0.007686040015612955,0.0
f11_breakeven_10y,0.0005648736136005732,0.006085255997212631,0.0
f11_be_5d_change,-0.0006930920904922162,0.0012769423235747081,0.0
f11_hy_oas_z,-0.0011909552779907388,0.005275956394712137,0.0
f11_hy_oas_5d_change,-0.00032686533314472873,0.002560314422887635,0.0
f11_ig_oas_z,-0.00019566963038012788,0.00208193005283978,0.0
f11_hy_ig_ratio,-0.00019322946141793197,0.003612113512248339,0.0
f11_dxy_z,-0.0011775657472153109,0.007611365589784672,0.0
f11_dxy_5d_change,0.00027721497492033675,0.001591253070023147,0.0
f11_eurusd_5d_change,0.0008113151575428505,0.002533809713776528,0.0
f11_crude_stock_surprise,-0.0016749004150481935,0.0094574069292006,0.0
f11_dist_stock_surprise,-0.002513147818278135,0.0063848492658032325,0.0
f11_gasoline_stock_surprise,0.011806178485125766,0.03164889277626317,0.0
f11_ng_stock_surprise,0.004010355386220957,0.017246413719551528,0.0
f11_copper_stock_z,-0.002850229913988119,0.004673022797535018,0.0
f11_baltic_dry_z,0.000513192284726031,0.013013396023748272,0.0
f11_baltic_5d_change,-0.001139383971222981,0.006542282367075875,0.0
f11_ism_pmi_level,-0.0026566836502195453,0.008545583111584152,0.0
f11_ism_pmi_3m_change,-0.0036865051080104847,0.02639818667732459,0.0
f11_china_pmi_level,-6.03315315053643e-05,0.0077301547576510725,0.0
f11_global_pmi_breadth,-0.0003289630466141317,0.000542895887731249,0.0
f12_mra_energy_D1,-0.0008595922187423444,0.0081569892025056,0.0
f12_mra_energy_D2,0.0015837565590668548,0.005868415712293935,0.0
f12_mra_energy_D3,-0.0004065142658699246,0.0018984213378437352,0.0
f12_mra_energy_D4,0.0005887319338129063,0.003843799385380016,0.0
f12_mra_energy_D5,0.0011140094887636639,0.0033785451722270214,0.0
f13_path_tortuosity_20d,-0.0026692246511968,0.010396552833936128,0.0
f13_realized_semi_vol_ratio,-0.002546662743666332,0.004681453217932102,0.0
f13_expected_hit_time,0.004194773815262883,0.007937016536578157,0.0
f13_prob_timeout,0.012902242188962269,0.013402697164354426,0.0
f15_ewma_implied_corr_z,0.0016391172205273456,0.005693712180831385,0.0
hmm_vol_p0_calm,0.0024425094504302858,0.007709240248791881,0.0
hmm_vol_p2_turbulent,0.007371048125067403,0.025095170377837053,0.0
hmm_vol_entropy,0.013910537902923322,0.02110821034193606,0.0
hmm_macro_p0,-0.0012445154471791915,0.003946833365955327,0.0
hmm_macro_entropy,-0.003840523608824431,0.005301631479431136,0.0
