date,instrument,f3_gmm_prob_highvol,f3_markov_prob_highvol,f3_markov_switch_prob,f3_regime_dwell
2020-12-11,nq1s,0.012700080715962696,0.009740600933500435,0.009923502058247241,18.0
2020-12-14,nq1s,0.013916646621958729,0.006747076164075277,0.002993524769425158,19.0
2020-12-15,nq1s,0.01879424324282335,0.007285703495499981,0.0005386273314247035,20.0
2020-12-16,nq1s,0.012936148657940455,0.005443661014027451,0.0018420424814725297,21.0
2020-12-17,nq1s,0.013271843038082995,0.0048667037832865355,0.0005769572307409154,22.0
2020-12-18,nq1s,0.01287668291326251,0.004510790466172581,0.00035591331711395426,23.0
2020-12-21,nq1s,0.012482974238088612,0.004257540337671071,0.0002532501285015098,24.0
2020-12-22,nq1s,0.011618269153429539,0.003922237067275845,0.0003353032703952265,25.0
2020-12-23,nq1s,0.014328665486647262,0.004530546727833755,0.00060830966055791,26.0
2020-12-24,nq1s,0.012301734828766933,0.004169141738345065,0.00036140498948868983,27.0
2020-12-28,nq1s,0.01810037219864879,0.0056713436688008035,0.0015022019304557384,28.0
2020-12-29,nq1s,0.011708798230977032,0.004381027110960004,0.0012903165578407993,29.0
2020-12-30,nq1s,0.01216788465372286,0.0039824578158555255,0.0003985692951044787,30.0
2020-12-31,nq1s,0.012396264548453027,0.003906541316871531,7.59164989839944e-05,31.0
2021-01-04,nq1s,0.05925875306144986,0.01574469348508894,0.011838152168217406,32.0
2021-01-05,nq1s,0.015359765216854034,0.00990497207195423,0.005839721413134708,33.0
2021-01-06,nq1s,0.04444566602244234,0.018073923003367923,0.008168950931413692,34.0
2021-01-07,nq1s,0.21130926882633308,0.1081521565290143,0.09007823352564638,35.0
2021-01-08,nq1s,0.025077008938664515,0.07665319554123841,0.031498960987775895,36.0
2021-01-11,nq1s,0.06493963858983894,0.10643112734415301,0.029777931802914603,37.0
2021-01-12,nq1s,0.012924154342794878,0.0402342088245822,0.06619691851957081,38.0
2021-01-13,nq1s,0.01427866443374344,0.018019647860683503,0.022214560963898698,39.0
2021-01-14,nq1s,0.01665337847590824,0.010612583040713355,0.007407064819970149,40.0
2021-01-15,nq1s,0.02072983115891231,0.008941314875920148,0.001671268164793207,41.0
2021-01-19,nq1s,0.032409702480491825,0.012405676777713218,0.00346436190179307,42.0
2021-01-20,nq1s,0.20019968187390916,0.0718117403556254,0.059406063577912185,43.0
2021-01-21,nq1s,0.019302822555065796,0.03260745385976841,0.03920428649585699,44.0
2021-01-22,nq1s,0.018021663694147216,0.01432894341234981,0.0182785104474186,45.0
2021-01-25,nq1s,0.020615208960377416,0.009315013925309553,0.005013929487040257,46.0
2021-01-26,nq1s,0.0161159744487314,0.005572186652960283,0.0037428272723492705,47.0
2021-01-28,nq1s,0.02889032959390691,0.12260669910234884,0.1512657933013627,49.0
2021-01-29,nq1s,0.4653166033226925,0.36789093170189546,0.24528423259954663,50.0
2021-02-01,nq1s,0.5260764877751333,0.7526358490576291,0.3847449173557337,1.0
2021-02-02,nq1s,0.13305174052381766,0.7320164303096719,0.020619418747957252,2.0
2021-02-03,nq1s,0.06220168755722172,0.49524131192697135,0.23677511838270054,1.0
2021-02-04,nq1s,0.06765905897443644,0.34405283922476704,0.1511884727022043,2.0
2021-02-05,nq1s,0.031733201481220254,0.15016467812795828,0.19388816109680876,3.0
2021-02-11,nq1s,0.026901346870487362,0.007032400195593837,0.004316852798139335,7.0
2021-02-18,nq1s,0.02221844860640758,0.004977298219153844,9.639991300862058e-05,11.0
2021-02-22,nq1s,0.7309573205780701,0.1541341740545682,0.149317145496166,13.0
2021-02-23,nq1s,0.02654013412639836,0.06203767845346944,0.09209649560109875,14.0
2021-02-24,nq1s,0.031090418515608436,0.029777991053369226,0.03225968740010021,15.0
2021-02-25,nq1s,0.9940866427260929,0.9286084771343942,0.898830486081025,1.0
2021-02-26,nq1s,0.03682080795725592,0.7932366787180616,0.13537179841633262,2.0
2021-03-01,nq1s,0.6890681727836172,0.9771372577799712,0.1839005790619096,3.0
2021-03-02,nq1s,0.2349321217140752,0.9765801004220594,0.0005571573579117306,4.0
2021-03-03,nq1s,0.9360733795928664,0.9986790349160994,0.02209893449403999,5.0
2021-03-04,nq1s,0.39131309278681703,0.9906442053563853,0.00803482955971413,6.0
2021-03-05,nq1s,0.17819130977944012,0.9739670681659339,0.016677137190451385,7.0
2021-03-08,nq1s,0.9750020131659017,0.9987327238670434,0.024765655701109446,8.0
2021-03-09,nq1s,0.9991430723078177,0.9999527390153506,0.001220015148307274,9.0
2021-03-10,nq1s,0.38884372791180966,0.9505406452349536,0.049412093780397015,10.0
2021-03-11,nq1s,0.9161543075892941,0.9804839693818834,0.029943324146929795,11.0
2021-03-12,nq1s,0.6835699642913462,0.9338962696683587,0.04658769971352472,12.0
2021-03-15,nq1s,0.6177773071913708,0.8552669620231841,0.07862930764517462,13.0
2021-03-16,nq1s,0.5471599013130702,0.6544921214985263,0.20077484052465777,14.0
2021-03-17,nq1s,0.5445142153507633,0.3806098090523077,0.27388231244621863,1.0
2021-03-18,nq1s,0.9996662327066311,0.9775310176232331,0.5969212085709255,1.0
2021-03-19,nq1s,0.7514630990621581,0.8935712863567955,0.08395973126643763,2.0
2021-03-22,nq1s,0.8868947758253317,0.8980974579229103,0.0045261715661147894,3.0
2021-03-23,nq1s,0.7754500711716206,0.7508798090497542,0.14721764887315614,4.0
2021-03-24,nq1s,0.961785735110011,0.8182138898518411,0.06733408080208692,5.0
2021-03-25,nq1s,0.47667924180545185,0.5873260309401453,0.23088785891169572,6.0
2021-03-26,nq1s,0.7007383672503998,0.5450118257561495,0.04231420518399587,7.0
2021-03-29,nq1s,0.3303601742997849,0.2867115131871137,0.2583003125690358,1.0
2021-03-30,nq1s,0.3339434814512678,0.14006688091034541,0.14664463227676827,2.0
2021-03-31,nq1s,0.3702771380241885,0.14520121877856276,0.005134337868217348,3.0
2021-04-01,nq1s,0.36141004747675765,0.16763861734609184,0.022437398567529077,4.0
2021-04-02,nq1s,0.12780709199350743,0.06405481255555828,0.10358380479053356,5.0
2021-04-05,nq1s,0.3019402583210416,0.12493927382986739,0.060884461274309104,6.0
2021-04-06,nq1s,0.02975613737168097,0.047963756074626065,0.07697551775524132,7.0
2021-04-07,nq1s,0.02739685149958193,0.01871113140139389,0.029252624673232176,8.0
2021-04-08,nq1s,0.033097705596627475,0.013097158130644774,0.005613973270749115,9.0
2021-04-09,nq1s,0.022369664491044054,0.007566235899741565,0.005530922230903209,10.0
2021-04-12,nq1s,0.021343287792805327,0.005190165782376366,0.0023760701173651992,11.0
2021-04-13,nq1s,0.03690433112907014,0.0074496708513237435,0.0022595050689473775,12.0
2021-04-14,nq1s,0.0804135743951008,0.013166588181158017,0.005716917329834274,13.0
2021-04-15,nq1s,0.04069477709145732,0.01839291917440337,0.0052263309932453535,14.0
2021-04-16,nq1s,0.013970850499640274,0.008559750000993814,0.009833169173409557,15.0
2021-04-19,nq1s,0.028312555092108768,0.009455974177291632,0.0008962241762978176,16.0
2021-04-20,nq1s,0.022805430485386226,0.008198005822874246,0.001257968354417386,17.0
2021-04-21,nq1s,0.017074967663020565,0.006981638388434831,0.0012163674344394144,18.0
2021-04-22,nq1s,0.04008879386512872,0.011875602014482761,0.00489396362604793,19.0
2021-04-23,nq1s,0.02657473193461292,0.012269761099142268,0.00039415908465950666,20.0
2021-04-26,nq1s,0.014552914587066985,0.0073041373578251415,0.004965623741317126,21.0
2021-04-27,nq1s,0.015761588868478494,0.005697476958143575,0.0016066603996815667,22.0
2021-04-28,nq1s,0.015438604638415454,0.005139102226284968,0.0005583747318586071,23.0
2021-04-29,nq1s,0.012532719543584803,0.00440187038784441,0.000737231838440558,24.0
2021-04-30,nq1s,0.019440584386605304,0.005791039585367827,0.0013891691975234169,25.0
2021-05-03,nq1s,0.01404453982959422,0.005168544139764031,0.0006224954456037959,26.0
2021-05-04,nq1s,0.11791269461812841,0.02960403397018009,0.02443548983041606,27.0
2021-05-05,nq1s,0.01414580427608146,0.013683166322444193,0.015920867647735898,28.0
2021-05-06,nq1s,0.015284135611748606,0.008670119073853285,0.005013047248590908,29.0
2021-05-07,nq1s,0.01576646074039206,0.0067755098275803045,0.0018946092462729805,30.0
2021-05-10,nq1s,0.5896083433317092,0.16766363259767209,0.1608881227700918,31.0
2021-05-11,nq1s,0.01461962769045633,0.06489495850588277,0.10276867409178932,32.0
2021-05-12,nq1s,0.6488519139062594,0.5357370868150071,0.4708421283091243,1.0
2021-05-13,nq1s,0.019103938259946534,0.31362437459641607,0.22211271221859102,1.0
2021-05-14,nq1s,0.17027471036340633,0.5422349998208271,0.22861062522441106,1.0
2021-05-17,nq1s,0.03023154867709759,0.33575895278578766,0.20647604703503947,1.0
2021-05-18,nq1s,0.03206935738046936,0.1881777735468305,0.14758117923895717,2.0
2021-05-19,nq1s,0.01929699268031035,0.07210758161151314,0.11607019193531735,3.0
2021-05-21,nq1s,0.03002527098801907,0.05588108167994133,0.06007286568834327,5.0
2021-05-24,nq1s,0.08575172903529439,0.06961071429801383,0.013729632618072495,6.0
2021-05-25,nq1s,0.02472936235868946,0.02616191690643034,0.043448797391583485,7.0
2021-05-26,nq1s,0.0249599315424579,0.011351951816672286,0.014809965089758055,8.0
2021-05-27,nq1s,0.027468967896911306,0.006707155959201277,0.004644795857471009,9.0
2021-05-28,nq1s,0.023859864065670183,0.004710839394352403,0.001996316564848874,10.0
2021-06-01,nq1s,0.026983597448257186,0.004406566767720535,0.00030427262663186745,11.0
2021-06-02,nq1s,0.019453560293210298,0.003964335315109316,0.00044223145261121973,12.0
2021-06-03,nq1s,0.05036708674328093,0.007735496954955831,0.0037711616398465155,13.0
2021-06-04,nq1s,0.08769379319651781,0.0181442871077164,0.01040879015276057,14.0
2021-06-07,nq1s,0.022964903174768247,0.008559507206984384,0.009584779900732017,15.0
2021-06-08,nq1s,0.015680589978657098,0.005331923221076102,0.003227583985908282,16.0
2021-06-09,nq1s,0.01573635337085436,0.004286793742555339,0.0010451294785207626,17.0
2021-06-10,nq1s,0.018872025300843993,0.0059520474299126075,0.0016652536873572685,18.0
2021-06-11,nq1s,0.011954382560532384,0.004492932094677819,0.0014591153352347883,19.0
2021-06-14,nq1s,0.016423715665048473,0.005468301011965613,0.0009753689172877934,20.0
2021-06-15,nq1s,0.016948479823443247,0.005961941223946487,0.0004936402119808747,21.0
2021-06-16,nq1s,0.013207937460175812,0.005010165302689516,0.0009517759212569711,22.0
2021-06-17,nq1s,0.02494869735143318,0.008234150309028382,0.0032239850063388656,23.0
2021-06-18,nq1s,0.02039270262390642,0.008477979956190719,0.00024382964716233683,24.0
2021-06-21,nq1s,0.013645826456148565,0.00612501956125441,0.0023529603949363088,25.0
2021-06-22,nq1s,0.016700031959070133,0.006079300437767962,4.571912348644812e-05,26.0
2021-06-23,nq1s,0.011876182616895577,0.00452590314315394,0.0015533972946140222,27.0
2021-06-24,nq1s,0.013667166277446704,0.004542473218396918,1.657007524297812e-05,28.0
2021-06-25,nq1s,0.012186453046904164,0.004116795222857403,0.0004256779955395147,29.0
2021-06-28,nq1s,0.02243654648035375,0.006837531995857452,0.002720736773000049,30.0
2021-06-29,nq1s,0.012015362236922915,0.004864217698199137,0.001973314297658315,31.0
2021-06-30,nq1s,0.012020980038480919,0.004214768551632506,0.0006494491465666311,32.0
2021-07-01,nq1s,0.012293128418229528,0.00393160809579878,0.000283160455833726,33.0
2021-07-02,nq1s,0.023153218716347457,0.006243256560558677,0.0023116484647598967,34.0
2021-07-06,nq1s,0.013553262426076518,0.004749784857071804,0.0014934717034868726,35.0
2021-07-07,nq1s,0.012925998196517297,0.0040758904571652505,0.0006738943999065536,36.0
2021-07-08,nq1s,0.016891951470211834,0.005058720397357436,0.0009828299401921856,37.0
2021-07-09,nq1s,0.015053919665542276,0.004808531359160619,0.00025018903819681686,38.0
