date,instrument,f5_signal,f5_abs_signal,f5_trailing_run_length,f5_days_since_flip,f5_days_since_nonzero,f5_participation_20,f5_participation_60,f5_long_bias_20,f5_sign_agree_mr,f5_signal_entropy_20,f5_flip_rate_60
2020-08-03,es1s,1.0,1.0,5.0,4.0,0.0,0.75,0.85,0.55,-1.0,0.8568409950394724,0.26666666666666666
2020-08-04,es1s,1.0,1.0,6.0,5.0,0.0,0.8,0.85,0.6,-1.0,0.8018185525433373,0.25
2020-08-05,es1s,1.0,1.0,7.0,6.0,0.0,0.8,0.85,0.7,-1.0,0.6874357505033554,0.25
2020-08-06,es1s,1.0,1.0,8.0,7.0,0.0,0.85,0.85,0.75,-1.0,0.6128694524619496,0.25
2020-08-07,es1s,1.0,1.0,9.0,8.0,0.0,0.85,0.85,0.75,-1.0,0.6128694524619496,0.25
2020-08-11,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.85,0.75,1.0,0.6128694524619496,0.26666666666666666
2020-08-12,es1s,-1.0,1.0,1.0,0.0,0.0,0.9,0.85,0.7,1.0,0.639031859650177,0.26666666666666666
2020-08-13,es1s,-1.0,1.0,2.0,1.0,0.0,0.9,0.85,0.6,1.0,0.7305880613711224,0.26666666666666666
2020-08-17,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.85,0.55,-1.0,0.818808456222877,0.2833333333333333
2020-08-18,es1s,1.0,1.0,2.0,1.0,0.0,0.85,0.85,0.55,-1.0,0.818808456222877,0.26666666666666666
2020-08-19,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.85,0.45,-1.0,0.8864644756797975,0.2833333333333333
2020-08-20,es1s,-1.0,1.0,2.0,1.0,0.0,0.85,0.85,0.45,-1.0,0.8864644756797975,0.2833333333333333
2020-08-21,es1s,-1.0,1.0,3.0,2.0,0.0,0.85,0.85,0.35,-1.0,0.9376369622724492,0.2833333333333333
2020-08-25,es1s,-1.0,1.0,1.0,0.0,0.0,0.85,0.8333333333333334,0.25,1.0,0.9745701894462542,0.31666666666666665
2020-08-26,es1s,-1.0,1.0,2.0,1.0,0.0,0.85,0.8333333333333334,0.15,1.0,0.9985793315873921,0.31666666666666665
2020-08-27,es1s,-1.0,1.0,3.0,2.0,0.0,0.85,0.8333333333333334,0.05,1.0,1.0104127537805414,0.31666666666666665
2020-08-28,es1s,-1.0,1.0,4.0,3.0,0.0,0.85,0.8333333333333334,-0.05,1.0,1.0104127537805414,0.31666666666666665
2020-08-31,es1s,-1.0,1.0,5.0,4.0,0.0,0.85,0.8333333333333334,-0.15,1.0,0.9985793315873921,0.31666666666666665
2020-09-01,es1s,-1.0,1.0,6.0,5.0,0.0,0.85,0.8333333333333334,-0.25,1.0,0.9745701894462542,0.31666666666666665
2020-09-02,es1s,-1.0,1.0,7.0,6.0,0.0,0.85,0.8333333333333334,-0.35,1.0,0.9376369622724492,0.31666666666666665
2020-09-03,es1s,-1.0,1.0,8.0,7.0,0.0,0.85,0.8333333333333334,-0.45,-1.0,0.8864644756797975,0.3
2020-09-04,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.8333333333333334,-0.45,1.0,0.8864644756797975,0.31666666666666665
2020-09-08,es1s,1.0,1.0,1.0,0.0,0.0,0.85,0.8166666666666667,-0.45,1.0,0.8864644756797975,0.35
