date,instrument,f7_volume_z_20,f7_volume_trend_20,f7_oi_level,f7_oi_change,f7_oi_z_20,f7_oi_price_div_20,f7_amihud_20,f7_rolls_spread_20,f7_kyles_lambda_20,f7_overnight_gap,z_f7_amihud_20,z_f7_oi_level,z_f7_oi_change,z_f7_kyles_lambda_20,z_f7_rolls_spread_20,z_f7_overnight_gap
2020-03-18,pl1s,0.007930607549173026,0.0022595618040845977,31450.05859441,-3285.010877030003,-1.5634487511950743,1.0,8.377671589871336e-07,15.352611148265504,0.00016409897318839071,-0.003010690212018126,-0.3617807240102629,0.2564594042797719,-1.29414140136444,-0.24764051161516792,1.5863184061030955,-0.5880359132839266
2020-03-19,pl1s,-0.5609180721515378,-0.1609507832897451,29463.98889017,-1986.0697042399988,-1.5128045067553977,1.0,8.190077443568005e-07,17.122443296098115,0.00016073068249263396,0.03985623907406926,-0.3628858783828136,0.16913484673793214,-0.7827089428255005,-0.2718307178657522,1.8456863525178389,8.109705244206635
2020-03-20,pl1s,-2.311142809323002,-0.7805068145975718,38094.93344926,8630.944559090003,-1.0038746567709258,1.0,1.1115840427621177e-06,13.440922831437396,0.00018513699089024805,-0.010776329253936654,-0.3452014090788437,0.5485522713123854,3.3941563472838334,-0.09638214903656216,1.3048969969184956,-2.1611760187623856
2020-03-23,pl1s,-1.9592745413964383,-0.7610644067903682,40140.83937248,2045.9059232199943,-0.827928944969468,1.0,1.15198898816953e-06,6.628958035730791,0.00018838592784785476,-0.003857285394462653,-0.342737331697563,0.6384466739571544,0.8034925629409582,-0.0730207210290254,0.30472285392398374,-0.7577896633987262
2020-03-24,pl1s,-1.4250444950007666,-0.6084863668394354,45252.50745108,5111.6680786,-0.4577495458558905,1.0,1.5610454449703104e-06,0.0,0.00022820815698895163,0.03368376718210114,-0.318021987104635,0.8631040523087701,2.0089357189989854,0.21326087549112616,-0.6685541715775034,6.834859875806215
2020-03-25,pl1s,-1.038739184638865,-0.46990620848845943,48294.52801401,3042.0205629300035,-0.1697392325773705,1.0,1.7320777008693047e-06,0.0,0.0002477875938290123,0.017792053627367275,-0.3076750142053682,0.9967310603433166,1.1946822015264993,0.3540062916790384,-0.6684903392832345,3.6179988475210525
2020-03-26,pl1s,-1.056907508427523,-0.5086397704111323,49290.64265372,996.1146397100019,0.012557677385199448,1.0,1.7584302188291967e-06,0.0,0.00024994115439983867,-0.008346844363976572,-0.3060620536007788,1.0403877045288137,0.3899510423114081,0.36946128229030545,-0.6684265252699236,-1.6629879446763725
2020-03-27,pl1s,-0.9924269711005107,-0.4802565163463318,51220.93734414,1930.2946904199998,0.2874883973683811,1.0,1.7365483607862097e-06,0.0,0.0002424688265965969,0.0032507139511518245,-0.3073610319938394,1.125094672499077,0.757327510484187,0.3157049171887008,-0.6683627295288461,0.6799762842228929
2020-03-30,pl1s,-0.8863020114422538,-0.45141709578997835,50955.6508546,-265.2864895400053,0.3738503150639249,1.0,1.8141445590290277e-06,0.0,0.00025106129218991784,-0.007579895530984622,-0.30265416287227387,1.1132662450638275,-0.10631014622864192,0.37746464037050526,-0.6682989520512835,-1.5078609049202323
2020-03-31,pl1s,-1.048384379861805,-0.5710255149525318,50787.39522116,-168.25563343999966,0.4728282686142974,1.0,1.8349794156313531e-06,0.0,0.0002518526289968921,0.0012426649749808169,-0.3013744872741531,1.1057066454198665,-0.06813550420231047,0.38312449505428026,-0.6682351928285232,0.27443615439295005
