date,instrument,f17_hmm_state_lo,f17_hmm_state_mid,f17_hmm_state_hi,f17_hmm_state_argmax
2022-05-12,si1s,0.0031119273487741936,0.9893922447116377,0.007495827938400086,1.0
2022-05-13,si1s,0.008833590687725322,0.9897522131453351,0.0014141961672416998,1.0
2022-05-16,si1s,0.0007419562956270513,0.9977230208249841,0.001535022878601749,1.0
2022-05-17,si1s,0.002963328039929738,0.9961748686066486,0.0008618033549513575,1.0
2022-05-18,si1s,0.0030058425706939026,0.9960989211570469,0.0008952362725647794,1.0
2022-05-19,si1s,0.0012604375166080297,0.99776724625107,0.000972316230362528,1.0
2022-05-20,si1s,0.0018025448647731041,0.9972914757553185,0.000905979378424166,1.0
2022-05-23,si1s,0.0058691320519628845,0.9933158342613639,0.0008150336862131618,1.0
2022-05-24,si1s,0.001591183022091109,0.9974787822330541,0.0009300347420699545,1.0
2022-05-25,si1s,0.0016967651638288242,0.9974538734062751,0.0008493614270030712,1.0
2022-05-26,si1s,0.0024585446226107915,0.996784082278752,0.0007573730973312895,1.0
2022-05-27,si1s,0.0020817778196964565,0.9971624857416505,0.0007557364417652807,1.0
2022-05-31,si1s,0.0010685702830526072,0.9977230344581194,0.001208395260766991,1.0
2022-06-01,si1s,0.001651771640245143,0.9975164746996341,0.0008317536573256225,1.0
2022-06-02,si1s,0.0007445258575263506,0.9983188987617769,0.0009365753830015932,1.0
2022-06-03,si1s,0.0003152961821725293,0.9986010895602379,0.0010836142579659037,1.0
2022-06-06,si1s,0.0005169669708733714,0.9986909514055072,0.0007920816259444762,1.0
2022-06-07,si1s,0.002503122441073036,0.996741214624097,0.0007556629372153955,1.0
2022-06-08,si1s,0.006352989539363403,0.992801225422825,0.000845785040321722,1.0
2022-06-09,si1s,0.0033351561885719525,0.9956695916699458,0.0009952521380290201,1.0
2022-06-10,si1s,0.20104354078890654,0.7969224029985371,0.0020340562130915854,1.0
2022-06-13,si1s,0.01431483782501751,0.9818897122707588,0.0037954499076874107,1.0
2022-06-14,si1s,0.054881062533998194,0.9429585321126026,0.0021604053567546824,1.0
2022-06-15,si1s,0.021293363842940095,0.9769398023176669,0.0017668338400799411,1.0
2022-06-16,si1s,0.004970310625255376,0.9936136419302947,0.0014160474447592367,1.0
2022-06-17,si1s,0.006895270121483737,0.9919000636235571,0.0012046662523861815,1.0
2022-06-21,si1s,0.011882686117053858,0.9871542385849158,0.0009630752984347626,1.0
2022-06-22,si1s,0.004235239557024541,0.9945815207474361,0.0011832396984356875,1.0
2022-06-23,si1s,0.0029312650668718706,0.9957620557957738,0.0013066791407112643,1.0
2022-06-24,si1s,0.006883070254875117,0.9922616216098584,0.0008553081321044965,1.0
2022-06-27,si1s,0.008809160953030845,0.9903577275555403,0.000833111489252899,1.0
2022-06-28,si1s,0.003945337573605647,0.994940240856713,0.0011144215674062192,1.0
2022-06-29,si1s,0.010151130871322777,0.988877402021681,0.0009714671041720376,1.0
2022-06-30,si1s,0.004529009426316239,0.9940616331090388,0.0014093574611619352,1.0
2020-01-03,hg1s,0.3268743138570717,0.6721412960056177,0.000984390138976587,1.0
2020-01-06,hg1s,0.458921246238762,0.5404304100415949,0.0006483437200713022,1.0
2020-01-07,hg1s,0.42183986543346513,0.5773412297679075,0.000818904798055132,1.0
2020-01-08,hg1s,0.39537405106591206,0.6034069182923872,0.001219030640461148,1.0
2020-01-09,hg1s,0.45747733389429845,0.5414863630581583,0.0010363030479419717,1.0
2020-01-10,hg1s,0.3984596931892432,0.6004094563875879,0.0011308504235624363,1.0
2020-01-13,hg1s,0.40739046156714553,0.5901966363843892,0.002412902046736861,1.0
