date,instrument,f10_hl_range,f10_hl_range_mean_20,f10_oto_ret,f10_oto_ret_mean_20,z_f10_hl_range,z_f10_hl_range_mean_20,z_f10_oto_ret,z_f10_oto_ret_mean_20
2021-04-27,nq1s,0.009834679178254539,0.01444687069613024,0.007514930962898164,0.0038899598443114846,-0.7380933435055017,-0.5686119673937683,0.4173313503819963,1.0349619392572837
2021-04-28,nq1s,0.008288083609545327,0.013709059377357355,-0.004949930139841891,0.003952672200583251,-0.8295650051608019,-0.6219010946192435,-0.3014693193045538,1.0526831146819386
2021-04-29,nq1s,0.01761006684452634,0.01367271345930091,0.001288982956089082,0.0032485192017903293,-0.2774235788883783,-0.6244517298773788,0.05834388583715958,0.8513196225230287
2021-04-30,nq1s,0.009864533756563015,0.013877647012521737,-0.0018086263846454809,0.002264970475231226,-0.7361053503823436,-0.6095513362184156,-0.12031040684051003,0.5701687536169129
2021-05-03,nq1s,0.01266273526135972,0.013356354122052407,-0.004887085925618475,0.001988744564236246,-0.5702871527723223,-0.6471806377228675,-0.2978577246149359,0.49116786327502554
2021-05-04,nq1s,0.030307859223118946,0.014390677853446035,-0.00688592196789695,0.0006617777223658467,0.47492445738130024,-0.5722811880028822,-0.4131236282424796,0.1118824761748377
2021-05-05,nq1s,0.014947796126353425,0.014664828632468865,-0.018985768415332616,-0.00020198321217493694,-0.4349937421453651,-0.552380711671111,-1.1109718149144894,-0.1350082601237425
2021-05-06,nq1s,0.016500221572236087,0.014854004065623228,-0.0030914786886406197,-0.0005045283956430464,-0.34298334000289743,-0.5386298719928123,-0.1939899547922066,-0.2214764684511539
2021-05-07,nq1s,0.01676664135022937,0.014988432183190245,0.009631603877776342,-0.0006277225617361469,-0.3271650312219949,-0.528841383979753,0.5400232470964487,-0.25667254809367046
2021-05-10,nq1s,0.03300678449984378,0.016275074075494125,0.007573437827657008,-0.00036225792408974564,0.6350815013247036,-0.43568564081447436,0.4212222795339168,-0.18075386031627955
2021-05-11,nq1s,0.023487332093042036,0.016652607479705338,-0.0297049712562166,-0.0018737339793756826,0.07095964984047484,-0.40832010969011545,-1.7292826744659773,-0.6128777738649195
2021-05-12,nq1s,0.02979906178333621,0.017220829897755925,0.00035663673221991666,-0.002405313754669982,0.4449734416287139,-0.3671565022887612,0.005091419762125867,-0.7647798493291599
2021-05-13,nq1s,0.023625028770861946,0.017521507963138234,-0.026817887122396616,-0.0032040292487985323,0.07903867682114953,-0.3453578672025324,-1.562372954414216,-0.9930124832941241
2021-05-14,nq1s,0.026815710127334396,0.018481208348668263,0.00968786052871943,-0.003348484929743079,0.26813763931536005,-0.27586029291958153,0.5436428007015891,-1.034129722764062
2021-05-17,nq1s,0.019958418886407897,0.018649461758735962,0.021549261170142366,-0.0022245783682316267,-0.1383434645454662,-0.2636543138436311,1.227713805284939,-0.7126280008432269
2021-05-18,nq1s,0.01907181807497258,0.01882735273042148,-0.005376810293731364,-0.0021742955650275054,-0.19088718124482595,-0.2507509508993878,-0.3256924958783672,-0.6981542500804098
