date,instrument,f16_regime_alignment_score
2022-03-15,es1s,0.9714240929872935
2022-03-16,es1s,0.8746142876572846
2022-03-17,es1s,0.9502777094549276
2022-03-18,es1s,0.9223867234840806
2022-03-21,es1s,0.8793138110013917
2022-03-22,es1s,0.8012703801403395
2022-03-23,es1s,0.8071602622760002
2022-03-24,es1s,0.7453497901292762
2022-03-25,es1s,0.9127946312959581
2022-03-28,es1s,0.8377314038067321
2022-03-29,es1s,0.7353186764471262
2022-03-30,es1s,0.8325751234221432
2022-03-31,es1s,0.8857450965296274
2022-04-01,es1s,0.6212263637353298
2022-04-04,es1s,0.3191196000735217
2022-04-05,es1s,0.5996941921476345
2022-04-06,es1s,0.6662823995068194
2022-04-07,es1s,0.8255220328709425
2022-04-08,es1s,0.7610257706913732
2022-04-11,es1s,0.7224095499855507
2022-04-12,es1s,0.8190121108523782
2022-04-13,es1s,0.7407793007661941
2022-04-14,es1s,0.8775392472210083
2022-04-18,es1s,0.7918661634873133
2022-04-19,es1s,0.36551655641597786
2022-04-20,es1s,0.4047782461181843
2022-04-21,es1s,0.4153258776335571
2022-04-22,es1s,0.7603936727245784
2022-04-25,es1s,0.6793996282869507
2022-04-26,es1s,0.9957261876108207
2022-04-27,es1s,0.9963496750606219
2022-04-28,es1s,0.9880183387835613
2022-04-29,es1s,0.9972336646960185
2022-05-02,es1s,0.991720561877572
2022-05-03,es1s,0.9945621443847714
2022-05-04,es1s,0.9854508023481229
2022-05-05,es1s,0.9911511703088981
2022-05-06,es1s,0.9957449597554804
2022-05-09,es1s,0.9972792176703679
2022-05-10,es1s,0.9952181599334591
2022-05-11,es1s,0.9966973393223147
2022-05-12,es1s,0.997604600996176
2022-05-13,es1s,0.9952851140585525
2022-05-16,es1s,0.9955981036610759
2022-05-17,es1s,0.989983510267524
2022-05-18,es1s,0.9930508169999733
2022-05-19,es1s,0.9935218030414436
2022-05-20,es1s,0.993149301010128
2022-05-23,es1s,0.9917592279237312
2022-05-24,es1s,0.9939885333955274
2022-05-25,es1s,0.992199285705215
2022-05-27,es1s,0.9595977826072438
2022-05-31,es1s,0.9464462583518636
2022-06-02,es1s,0.6824936812206741
2022-06-03,es1s,0.8123781461028337
2022-06-08,es1s,0.4047204867318923
2022-06-09,es1s,0.6653276490468278
2022-06-10,es1s,0.891992019789084
2022-06-14,es1s,0.9694943307597296
2022-06-15,es1s,0.9267107900473823
2022-06-16,es1s,0.9610440842269932
2022-06-17,es1s,0.9505187501754652
2022-06-21,es1s,0.9393837441557564
2022-06-22,es1s,0.9484619776114389
2022-06-23,es1s,0.9867713647172315
2022-06-24,es1s,0.9819254896488907
2022-06-27,es1s,0.9865752313876406
2022-06-28,es1s,0.9875975969671166
2022-06-29,es1s,0.9919598717969167
2022-06-30,es1s,0.991667893270853
