date,instrument,f2_vol_10,f2_vol_20,f2_vol_60,f2_vol_ratio_20_60,f2_vol_pctile_20,f2_vol_of_vol_20,f2_parkinson_20,f2_garman_klass_20,f2_atr_14,f2_ret_skew_60,f2_ret_kurt_60,f2_rogers_satchell_20,z_f2_vol_10,z_f2_vol_20,z_f2_vol_60,z_f2_vol_of_vol_20,z_f2_parkinson_20,z_f2_garman_klass_20,z_f2_atr_14,z_f2_rogers_satchell_20
2020-12-23,hg1s,0.1933429428676359,0.1689215183437383,0.21451542753078498,0.7874562696405436,0.3373015873015873,0.07196673301085335,0.20993881030699746,0.2201433308297088,0.08483262894832191,-1.0270715527310856,5.68939666368428,0.22514326832092993,-0.32560029858301537,-0.6340995225260249,-0.2620551049023939,0.8545994573658678,-0.17300211705588878,-0.07570480594172724,0.4315694743329326,-0.026361738422066985
2020-12-24,hg1s,0.17068859854627694,0.16901644989318937,0.21321845247419102,0.7926914764267315,0.3373015873015873,0.07212790670109694,0.20899110605911375,0.21867507163021702,0.0823527061662989,-1.0091261174065207,5.829759661948652,0.22364753939207385,-0.5253749354135514,-0.6331177973114243,-0.2762784421591676,0.8595578913368302,-0.18246040957717552,-0.09002756851283493,0.3817049923964475,-0.04060787395334305
2020-12-28,hg1s,0.15430283155938992,0.14679730126918947,0.17387228528273255,0.8442823479917076,0.15873015873015872,0.07152098521599952,0.20351223510774372,0.21799032987361874,0.08165019072584893,0.6318734914890024,0.828261635707544,0.22611747357838324,-0.6698463999227495,-0.8494519164137796,-0.7083104779259844,0.8404279782882792,-0.23719813087454486,-0.09670404584814901,0.36755969455518755,-0.01707594664251945
2020-12-29,hg1s,0.15670753120261477,0.14784197290378348,0.15875898653743162,0.9312353028212726,0.17063492063492064,0.07001714178632981,0.19820318127916015,0.2112300446711421,0.0798187078168597,0.3053923559936344,-0.09895575096071967,0.21446274564367968,-0.648575333273726,-0.8391839794393356,-0.8741908071439795,0.7931731715343086,-0.29023785981989986,-0.16267469941184323,0.33072668343493794,-0.1281082009624913
2020-12-30,hg1s,0.1552691930229698,0.1413708215731072,0.15824612680170277,0.8933603901108941,0.12301587301587301,0.0689636540131814,0.19456033415392637,0.20770212777601194,0.07769692154422692,0.29891217014370597,-0.07169034287649502,0.21050281200613785,-0.6612023489718122,-0.9021140567813891,-0.8797224113987364,0.7600499152553988,-0.3266242545557182,-0.1970966843820118,0.28806020184756365,-0.16582796961876425
2020-12-31,hg1s,0.15907994059183417,0.1452413343437614,0.1598720619468845,0.9084847757328359,0.14682539682539683,0.06779051036384336,0.19212147673443983,0.20407447760012742,0.07669527643392503,0.3093092653033227,-0.14711831167352887,0.20473993882144154,-0.6275290777682963,-0.8643139109977879,-0.8617681428083913,0.723178660857744,-0.35097627418551186,-0.2324917411591359,0.2679081932915109,-0.22072587196450916
2021-01-04,hg1s,0.1551012157267689,0.1491930747695069,0.15489336447683924,0.9631986190849081,0.1984126984126984,0.06612362018482693,0.19603813476098353,0.208480080296728,0.07862881740293033,0.25635760660280565,-0.07365591836020176,0.21147115057723415,-0.6625681408260538,-0.8257297042805324,-0.9163396822835076,0.6708260008949257,-0.3118034876606794,-0.18947181455092604,0.306754076162121,-0.15657182461932295
2021-01-05,hg1s,0.1952164147826187,0.16719629026128208,0.16081192918362547,1.0397007927836406,0.3253968253968254,0.06433908012635155,0.2031937336731172,0.21319556878244109,0.08215085544557815,0.281708818517989,-0.19959793717492919,0.2153068540398066,-0.3086375480541134,-0.650292769443645,-0.8512411448925501,0.614788862553353,-0.24025585655668352,-0.14342715113581847,0.3775294121331051,-0.12001013809093823
2021-01-06,hg1s,0.17525609763965064,0.16662250234250076,0.15936301955050233,1.0455531202437958,0.31746031746031744,0.06241731407296028,0.20478953476711803,0.2153985600856408,0.0832735893423226,0.3229098768327483,-0.09009382142747663,0.2183464480888279,-0.48470553696506735,-0.6558222071108818,-0.8670566556359514,0.5544523480390033,-0.22428724502611153,-0.12191100295743247,0.40007101138534734,-0.09103538292418875
2021-01-07,hg1s,0.14878460707752345,0.16854054663695708,0.15951762509688971,1.0565637905816798,0.3253968253968254,0.060354726861292056,0.20734209936312245,0.21784278106366978,0.08330543081787098,0.2543450141093131,-0.13603221556769818,0.21939166329523874,-0.7182004944985915,-0.6370787215624556,-0.8652607937040044,0.4897027295370671,-0.19875402618404417,-0.09803976618739857,0.4006813235373924,-0.08106807865644873
