scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
equity_all,es1s+nq1s+fesx1s,3,nq1s,equity,lightgbm,without_bbg,1277,1968,0.545298,0.016842,0.063015,0.528457,False,,2.170000
equity_all,es1s+nq1s+fesx1s,3,fesx1s,equity,elasticnet_logistic,without_bbg,1277,2099,0.536102,0.019934,0.074586,0.516168,False,,2.760000
equity_all,es1s+nq1s+fesx1s,3,fesx1s,equity,random_forest,without_bbg,1277,2099,0.553795,0.017679,0.066147,0.536116,False,,2.450000
equity_all,es1s+nq1s+fesx1s,3,fesx1s,equity,xgboost,without_bbg,1277,2099,0.553472,0.016388,0.061319,0.537084,False,,0.720000
equity_all,es1s+nq1s+fesx1s,3,fesx1s,equity,lightgbm,without_bbg,1277,2099,0.545484,0.012691,0.047485,0.532793,False,,2.130000
es_only,es1s,1,es1s,equity,elasticnet_logistic,without_bbg,405,1888,0.535225,0.020466,0.076577,0.514759,False,,0.720000
es_only,es1s,1,es1s,equity,random_forest,without_bbg,405,1888,0.567800,0.012713,0.047569,0.555086,False,,1.300000
es_only,es1s,1,es1s,equity,xgboost,without_bbg,405,1888,0.555307,0.011690,0.043738,0.543617,False,,0.470000
es_only,es1s,1,es1s,equity,lightgbm,without_bbg,405,1888,0.557237,0.016400,0.061362,0.540837,False,,0.660000
nq_only,nq1s,1,nq1s,equity,elasticnet_logistic,without_bbg,422,1968,0.464294,0.014891,0.055719,0.449403,False,,0.750000
nq_only,nq1s,1,nq1s,equity,random_forest,without_bbg,422,1968,0.501602,0.020821,0.077907,0.480781,False,,1.310000
nq_only,nq1s,1,nq1s,equity,xgboost,without_bbg,422,1968,0.498441,0.020867,0.078077,0.477574,False,,0.470000
nq_only,nq1s,1,nq1s,equity,lightgbm,without_bbg,422,1968,0.510443,0.020341,0.076108,0.490102,False,,0.700000
